state,district,total_demo,total_bio,infra_ratio_pct
arunachal pradesh,kamle,318,143,44.827586206896555
arunachal pradesh,kra daadi,514,1240,240.7766990291262
arunachal pradesh,kurung kumey,335,3390,1008.9285714285713
arunachal pradesh,leparada,23,36,150.0
arunachal pradesh,lohit,1866,3891,208.40921264059992
arunachal pradesh,longding,1485,2599,174.89905787348587
arunachal pradesh,lower dibang valley,1157,2248,194.1278065630397
arunachal pradesh,lower siang,339,413,121.4705882352941
arunachal pradesh,lower subansiri,1521,2680,176.08409986859394
arunachal pradesh,namsai,2135,6003,281.03932584269666
arunachal pradesh,pakke kessang,87,74,84.0909090909091
arunachal pradesh,papum pare,4922,9259,188.07637619337802
arunachal pradesh,shiyomi,238,529,221.3389121338912
arunachal pradesh,siang,777,1309,168.25192802056554
arunachal pradesh,tawang,951,2464,258.8235294117647
arunachal pradesh,tirap,990,1893,191.0191725529768
arunachal pradesh,upper siang,1321,1796,135.85476550680787
arunachal pradesh,upper subansiri,1549,4166,268.7741935483871
arunachal pradesh,west kameng,1859,6172,331.8279569892473
arunachal pradesh,west siang,3552,4646,130.76273571629608
assam,bajali,844,23,2.72189349112426
assam,baksa,17012,17455,102.59801328395932
assam,barpeta,59142,95421,161.33946536361023
assam,biswanath,11025,9548,86.59532015236712
assam,bongaigaon,39124,36608,93.5667731629393
assam,cachar,58019,66145,114.00379179593243
assam,charaideo,9913,8293,83.64938470849303
assam,chirang,13397,27087,202.1719659650694
assam,darrang,28319,26265,92.74364406779661
assam,dhemaji,22349,20730,92.75167785234899
assam,dhubri,80799,59475,73.60767326732673
assam,dibrugarh,26519,26735,100.81070889894418
assam,dima hasao,280,25,8.896797153024911
assam,goalpara,40567,27624,68.09307828830605
assam,golaghat,27924,20154,72.17188898836169
assam,hailakandi,21302,21123,99.15504858470638
assam,hojai,25308,29002,114.59164724011221
assam,jorhat,19788,16279,82.26287331345698
assam,kamrup,44584,43252,97.01020522597285
assam,kamrup metro,26191,26762,102.17623701893707
assam,karbi anglong,31121,39206,125.97519439624702
assam,karimganj,41414,35646,86.07026439695761
assam,kokrajhar,22669,28859,127.30039700044111
assam,lakhimpur,35412,29772,84.07082144975008
assam,majuli,3281,3382,103.04692260816574
assam,marigaon,43810,33936,77.45999863048092
assam,nagaon,97377,117879,121.05300992010515
assam,nalbari,20961,20251,96.60814807747352
assam,north cachar hills,3599,4024,111.77777777777777
assam,sibsagar,13070,11380,87.06296381302118
assam,sonitpur,43576,30117,69.112146315717
assam,south salmara mankachar,21047,4848,23.033067274800455
assam,sribhumi,5087,357,7.0165094339622645
assam,tamulpurrict,1268,70,5.516154452324665
assam,tinsukia,35249,19249,54.60709219858156
assam,udalguri,19780,22348,112.97709923664124
assam,west karbi anglong,1451,3392,233.60881542699724
bihar,araria,155315,155444,100.08241262973551
bihar,arwal,27770,30704,110.56137697598214
bihar,banka,98120,98227,100.10802988147287
bihar,begusarai,132990,147208,110.6901970810055
bihar,bhabua,132,33,24.81203007518797
bihar,bhagalpur,155026,148314,95.66978655331006
bihar,bhojpur,142341,96996,68.14292338171445
bihar,buxar,73902,57028,77.16601491143797
bihar,chhatrapati sambhajinagar,106534,96430,90.51485427324354
bihar,darbhanga,153928,210380,136.67340137336043
bihar,east champaran,248028,212134,85.52790197920405
bihar,gaya,195174,185172,94.87485589855258
bihar,gopalganj,105867,103484,97.7481391922016
bihar,jamui,66920,82157,122.76714334812691
bihar,jehanabad,46361,37430,80.73422199214875
bihar,kaimur bhabua,67018,78157,116.6191676987123
bihar,katihar,180294,217280,120.51360270667517
bihar,khagaria,75624,79904,105.65818181818183
bihar,kishanganj,145141,141279,97.338468534263
bihar,lakhisarai,48883,49497,101.25398903526717
bihar,madhepura,91861,117237,127.62295617339052
bihar,madhubani,181691,238135,131.06520925522312
bihar,monghyr,282,99,34.98233215547703
bihar,munger,55947,50471,90.21055265603775
bihar,muzaffarpur,206917,208544,100.78581853681168
bihar,nalanda,153043,117402,76.71127257520713
bihar,nawada,86518,86245,99.68330655694125
bihar,pashchim champaran,1120,353,31.489741302408564
bihar,patna,243772,209014,85.74124287759514
bihar,purba champaran,934,264,28.235294117647058
bihar,purnea,2806,4954,176.48735304595652
bihar,purnia,143374,228551,159.40784655623366
bihar,rohtas,117745,111710,94.87371120887333
bihar,saharsa,81177,119866,147.65823252605387
bihar,samastipur,202292,200165,98.94806048652202
bihar,samstipur,448,195,43.42984409799555
bihar,saran,169845,148503,87.43391071912203
bihar,sheikhpura,28088,40423,143.9104275695112
bihar,sheikpura,178,133,74.30167597765363
bihar,sheohar,31480,32682,103.81499952352213
bihar,sitamarhi,169848,182000,107.15400149544595
bihar,siwan,123722,125804,101.68198313975574
bihar,supaul,106911,112370,105.1051331936546
bihar,vaishali,155594,168160,108.07545229602493
bihar,west champaran,233389,166817,71.47564162988988
chandigarh,chandigarh,83336,74462,89.35046857938251
chandigarh,mohali,5,6,100.0
chandigarh,rupnagar,20,14,66.66666666666666
chhattisgarh,balod,59734,81215,135.9588181133339
chhattisgarh,baloda bazar,116270,140747,121.05082092697232
chhattisgarh,balrampur,60301,52243,86.63560080926005
chhattisgarh,bastar,79431,94384,118.82364790009063
chhattisgarh,bemetara,58693,111710,190.32609806794562
chhattisgarh,bijapur,13047,27884,213.7032495401594
chhattisgarh,bilaspur,153341,195037,127.190854429967
chhattisgarh,dakshin bastar dantewada,5896,27211,461.43801933186364
chhattisgarh,dantewada,2398,18928,788.9954147561484
chhattisgarh,dhamtari,44713,90278,201.90097061323073
chhattisgarh,durg,77149,179851,233.11860012961762
chhattisgarh,gariyaband,27599,52088,188.7246376811594
chhattisgarh,gaurelapendramarwahi,3425,2289,66.81260945709282
chhattisgarh,janjgir champa,451,392,86.72566371681415
chhattisgarh,janjgirchampa,112160,180654,161.0666809318747
chhattisgarh,jashpur,71023,74603,105.03914169858075
chhattisgarh,kabeerdham,27101,32517,119.98007527119769
chhattisgarh,kanker,28840,53209,184.4908290281197
chhattisgarh,kawardha,67000,60791,90.73148161967733
chhattisgarh,khairagarh chhuikhadan gandai,6103,1035,16.956094364351245
chhattisgarh,kondagaon,61964,57346,92.54579197934318
chhattisgarh,korba,83374,101874,122.18770614692653
chhattisgarh,koriya,31735,60897,191.886186034787
chhattisgarh,mahasamund,134887,99869,74.03846153846155
chhattisgarh,manendragarhchirmiribharatpur,5113,593,11.595619867031678
chhattisgarh,mohallamanpurambagarh chowki,181,67,36.81318681318682
chhattisgarh,mohlamanpurambagarh chouki,19811,4595,23.193014334746618
chhattisgarh,mungeli,70564,82567,117.00843194218096
chhattisgarh,narayanpur,16765,22173,132.24979124418465
chhattisgarh,raigarh,83436,174626,209.29084219231277
chhattisgarh,raipur,133011,192374,144.6290560250203
chhattisgarh,rajnandgaon,148118,154498,104.30667233778246
chhattisgarh,sakti,9685,4024,41.54449721247161
chhattisgarh,sarangarhbilaigarh,8055,1043,12.94687189672294
chhattisgarh,sukma,12746,30139,236.43994665411466
chhattisgarh,surajpur,42067,71822,170.72834458495768
chhattisgarh,surguja,115683,82860,71.62615400573978
chhattisgarh,uttar bastar kanker,13568,30301,223.31048713980394
dadra and nagar haveli and daman and diu,dadra and nagar haveli,7722,29213,378.2597436229445
dadra and nagar haveli and daman and diu,dadra nagar haveli,235,553,234.3220338983051
dadra and nagar haveli and daman and diu,daman,3168,5966,188.2612811612496
dadra and nagar haveli and daman and diu,diu,1079,3536,327.4074074074074
delhi,central delhi,49047,54060,110.21856140923177
delhi,east delhi,187061,122805,65.64935689771306
delhi,najafgarh,195,845,431.12244897959187
delhi,new delhi,4061,4563,112.33382570162482
delhi,north delhi,86900,60830,69.99919448567911
delhi,north east,11827,46620,394.14947582008796
delhi,north east delhi,141148,143096,101.37939340696711
delhi,north west delhi,313989,325293,103.5997961718526
delhi,shahdara,28544,7963,27.89630408127518
delhi,south delhi,213489,222936,104.42456321139164
delhi,south east delhi,1169,582,49.743589743589745
delhi,south west delhi,169699,141527,83.39835002946376
delhi,west delhi,231805,173242,74.73577042872057
goa,bardez,31,40,125.0
goa,north goa,18843,37771,200.44045850137974
goa,south goa,16238,30584,188.33672024139418
goa,tiswadi,4,2,40.0
gujarat,ahmadabad,7760,15682,202.0615900012885
gujarat,ahmedabad,267884,405490,151.3671911454542
gujarat,amreli,27888,68514,245.66675033167198
gujarat,anand,39149,113695,290.4086845466156
gujarat,arvalli,8096,29669,366.4196616030629
gujarat,banas kantha,473,547,115.40084388185655
gujarat,banaskantha,75207,151757,201.78305499414955
gujarat,bharuch,49806,76378,153.34792298271327
gujarat,bhavnagar,57862,141152,243.9417244180219
gujarat,botad,7545,16256,215.42539093559503
gujarat,chhotaudepur,9631,33802,350.9343853820598
gujarat,dahod,35936,115675,321.8827392381111
gujarat,devbhumi dwarka,6586,25464,386.57962653711854
gujarat,dohad,5212,15716,301.47707653942064
gujarat,gandhinagar,64588,76564,118.5403087212993
gujarat,gir somnath,12066,36766,304.6821910996934
gujarat,jamnagar,45719,81102,177.38845144356955
gujarat,junagadh,38045,102672,269.8627976659833
gujarat,kachchh,66789,123961,185.59814343464592
gujarat,kheda,52619,117161,222.6548840744964
gujarat,mahesana,50217,99913,198.95854076227647
gujarat,mahisagar,7507,30952,412.2535961640916
gujarat,morbi,19799,31879,161.0050505050505
gujarat,narmada,14757,39198,265.6050955414013
gujarat,navsari,29602,45552,153.8762963213188
gujarat,panch mahals,417,327,78.22966507177034
gujarat,panchmahals,32470,104768,322.6509808752425
gujarat,patan,29559,73949,250.1657645466847
gujarat,porbandar,14623,30985,211.8777352297593
gujarat,rajkot,137600,168711,122.60884731942355
gujarat,sabar kantha,643,617,95.80745341614907
gujarat,sabarkantha,43877,90387,205.9961712019691
gujarat,surat,357582,281599,78.75066767715467
gujarat,surendra nagar,38759,95711,246.93240454076366
gujarat,surendranagar,913,527,57.65864332603938
gujarat,tapi,12190,40025,328.31597079812974
gujarat,the dangs,6581,27950,424.6429656639319
gujarat,vadodara,100027,201417,201.36061902667254
gujarat,valsad,48343,84024,173.80440178719178
haryana,ambala,33242,72756,218.86111361790452
haryana,bhiwani,34280,95625,278.94460488317145
haryana,charkhi dadri,12095,9788,80.91931216931218
haryana,faridabad,160555,118951,74.08692294277385
haryana,fatehabad,41970,69794,166.29101045960306
haryana,gurgaon,119213,70791,59.38144848759374
haryana,hisar,63206,115867,183.3135570427326
haryana,jhajjar,32384,56639,174.89269723637486
haryana,jind,44013,91268,207.36129413368474
haryana,kaithal,39974,79936,199.96497811131957
haryana,karnal,49131,94019,191.36000976960025
haryana,kurukshetra,28709,69992,243.78962034134446
haryana,mahendragarh,28534,48832,171.13019099351675
haryana,mewat,66667,68325,102.48545029099418
haryana,palwal,68968,58697,85.10635212921748
haryana,panchkula,34418,37369,108.57084749702199
haryana,panipat,69084,79773,115.47079684446697
haryana,rewari,44031,49732,112.9451308139535
haryana,rohtak,26531,75970,286.3334840946781
haryana,sirsa,55162,97066,175.9621485415949
haryana,sonipat,60664,84653,139.5417456523531
haryana,yamuna nagar,52881,88728,167.78487954313377
haryana,yamunanagar,428,882,205.59440559440557
himachal pradesh,bilaspur,6760,21906,324.00532465611593
himachal pradesh,chamba,19658,33842,172.14507350323007
himachal pradesh,hamirpur,7320,23819,325.35172790602377
himachal pradesh,kangra,34127,89913,263.4581575246132
himachal pradesh,kinnaur,1169,4467,381.7948717948718
himachal pradesh,kullu,9602,21248,221.26418827449754
himachal pradesh,lahaul and spiti,59,47,78.33333333333333
himachal pradesh,lahul and spiti,233,765,326.9230769230769
himachal pradesh,lahul spiti,277,595,214.02877697841726
himachal pradesh,mandi,16305,63334,388.40917453698023
himachal pradesh,shimla,15742,39727,252.34707489042748
himachal pradesh,sirmaur,19418,31453,161.9702353365261
himachal pradesh,solan,8983,33569,373.65316117542295
himachal pradesh,una,9561,31549,329.9414348462665
jammu and kashmir,anantnag,35566,47569,133.74476340427924
jammu and kashmir,badgam,12119,14141,116.67491749174917
jammu and kashmir,bandipore,15894,20373,128.17238125196602
jammu and kashmir,bandipur,1,1,50.0
jammu and kashmir,baramula,36795,61935,168.3199260789216
jammu and kashmir,budgam,18622,23111,124.09923213230951
jammu and kashmir,doda,11377,36779,323.24661627702585
jammu and kashmir,ganderbal,7529,13696,181.88579017264277
jammu and kashmir,jammu,35116,98799,281.34236979240825
jammu and kashmir,kargil,2056,2923,142.10014584346135
jammu and kashmir,kathua,20478,40163,196.11797451047414
jammu and kashmir,kishtwar,5868,20920,356.44913954677116
jammu and kashmir,kulgam,12407,25744,207.47904577691813
jammu and kashmir,kupwara,45137,49760,110.23970933581462
jammu and kashmir,leh,1427,2564,179.55182072829132
jammu and kashmir,leh ladakh,7,11,137.5
jammu and kashmir,poonch,3,1,25.0
jammu and kashmir,pulwama,21487,32832,152.7922561429635
jammu and kashmir,punch,23440,46375,197.83712298963354
jammu and kashmir,rajauri,15,12,75.0
jammu and kashmir,rajouri,15808,55736,352.5586691125308
jammu and kashmir,ramban,7754,29877,385.26112185686657
jammu and kashmir,reasi,8400,23240,276.6337340792763
jammu and kashmir,samba,5120,11225,219.19546963483697
jammu and kashmir,shupiyan,8207,15529,189.19346978557505
jammu and kashmir,srinagar,39716,72844,183.40760883248987
jammu and kashmir,udhampur,16853,45486,269.8825204699181
jharkhand,bokaro,70673,108432,153.42558791068853
jharkhand,chatra,47296,67692,143.12112818994862
jharkhand,deoghar,60060,67426,112.26253309135711
jharkhand,dhanbad,107797,151069,140.1408189391269
jharkhand,dumka,59658,76212,127.74602323203541
jharkhand,east singhbhum,60660,136106,224.3715072286972
jharkhand,garhwa,42389,105042,247.79900920028308
jharkhand,giridih,125671,110410,87.8556878222675
jharkhand,godda,57677,80934,140.32039945906584
jharkhand,gumla,46753,87878,187.95824956153484
jharkhand,hazaribag,9726,7734,79.51064048524725
jharkhand,hazaribagh,66645,74932,112.43285418479729
jharkhand,jamtara,33003,39641,120.10968367470609
jharkhand,khunti,21421,42955,200.5181589020633
jharkhand,kodarma,3003,4898,163.04926764314246
jharkhand,koderma,24185,38143,157.7069378979575
jharkhand,latehar,38645,43463,112.46442063861718
jharkhand,lohardaga,17419,39196,225.00574052812857
jharkhand,pakaur,3678,2484,67.51834737700462
jharkhand,pakur,45461,37287,82.01794905635475
jharkhand,palamau,3686,2634,71.44019528071604
jharkhand,palamu,114051,113041,99.1135622347701
jharkhand,pashchimi singhbhum,9157,14111,154.08386110504478
jharkhand,purbi singhbhum,4866,20559,422.41627285802343
jharkhand,ramgarh,35460,37237,105.00831899833621
jharkhand,ranchi,103653,177774,171.50712948849056
jharkhand,sahebganj,65749,64425,97.98479087452472
jharkhand,sahibganj,2656,2097,78.92359804290552
jharkhand,seraikelakharsawan,34701,78588,226.4653334101781
jharkhand,simdega,26085,62711,240.40098136931687
jharkhand,west singhbhum,59305,131186,221.20190199979768
karnataka,bagalkot,53857,78859,146.42021612388132
karnataka,ballari,24399,37360,153.11475409836066
karnataka,belagavi,54321,190070,349.89507013732924
karnataka,bellary,27380,68247,249.24947956612252
karnataka,bengaluru urban,407793,496054,121.64328067602762
karnataka,bidar,43059,79708,185.1091500232234
karnataka,bijapur,30382,55110,181.38432676167594
karnataka,bijapurkar,1,13,650.0
karnataka,chamarajanagar,1166,1907,163.41045415595542
karnataka,chamrajanagar,15211,28965,190.4088877202209
karnataka,chamrajnagar,1936,2252,116.26226122870418
karnataka,chickmagalur,10484,21919,209.05102527420124
karnataka,chikkaballapur,36221,41933,115.76666114516041
karnataka,chikkamagaluru,11089,15176,136.84400360685302
karnataka,chikmagalur,712,1385,194.24964936886394
karnataka,chitradurga,47341,61227,129.32913691859238
karnataka,dakshina kannada,56402,78051,138.38093718419233
karnataka,davanagere,3186,6251,196.14057106997177
karnataka,davangere,33773,89432,264.7954047492154
karnataka,dharwad,55119,87821,159.32692307692307
karnataka,gadag,29591,42065,142.14990537983238
karnataka,gulbarga,23699,64465,272.0042194092827
karnataka,hasan,8568,9682,112.98868012603572
karnataka,hassan,38846,47012,121.01835405565424
karnataka,haveri,58594,69745,119.02892738288249
karnataka,kalaburagi,40220,70137,174.3790557171627
karnataka,kodagu,11481,17305,150.7141612959415
karnataka,kolar,47265,64283,136.00262345026022
karnataka,koppal,43399,59812,137.81566820276498
karnataka,mandya,40261,65779,163.37737817296707
karnataka,mysuru,58416,109107,186.77268603317526
karnataka,raichur,48164,110877,230.20242914979758
karnataka,ramanagar,34834,40922,117.4738050810966
karnataka,shivamogga,24751,60503,244.4368131868132
karnataka,tumakuru,28425,108322,381.0666291423345
karnataka,udupi,27376,34628,126.48573620192131
karnataka,uttara kannada,30631,43156,140.8853486550013
karnataka,vijayanagara,14692,19948,135.76533042945618
karnataka,vijayapura,31971,53092,166.05780057550356
karnataka,yadgir,35433,65183,183.95608737370887
kerala,alappuzha,36835,87629,237.8895645564122
kerala,ernakulam,66207,148755,224.6782866118898
kerala,idukki,15492,47933,309.38488349577227
kerala,kannur,57710,119399,206.8912339068808
kerala,kasaragod,28358,71756,253.02725766070736
kerala,kasargod,1869,2138,114.33155080213903
kerala,kollam,53100,127311,239.75254703301255
kerala,kottayam,30210,78215,258.8957664426864
kerala,kozhikode,89927,152186,169.2309403078018
kerala,malappuram,152390,224009,146.99621368716
kerala,palakkad,49996,159847,319.7131827909675
kerala,pathanamthitta,21035,59370,282.23046206503136
kerala,thiruvananthapuram,64938,148817,229.16429264386576
kerala,thrissur,58820,145512,247.38103738460754
kerala,wayanad,18065,36853,203.99092217424996
ladakh,kargil,2489,2942,118.15261044176705
ladakh,leh,3246,2821,86.88019710502002
lakshadweep,lakshadweep,1176,4820,409.5157179269329
madhya pradesh,agar malwa,9884,16813,170.08598887202834
madhya pradesh,alirajpur,21594,62133,287.71937948599214
madhya pradesh,anuppur,26195,71350,272.3698274545732
madhya pradesh,ashok nagar,45017,74376,165.2139144342263
madhya pradesh,balaghat,79292,126762,159.86530967424613
madhya pradesh,barwani,82759,143427,173.30473658772354
madhya pradesh,betul,48246,155822,322.96723112317864
madhya pradesh,bhind,58016,83365,143.69064239791786
madhya pradesh,bhopal,90864,186438,205.18131293677433
madhya pradesh,burhanpur,16543,74141,448.1443423597679
madhya pradesh,chhatarpur,79858,158531,198.5136302733568
madhya pradesh,chhindwara,89422,140191,156.7728660411751
madhya pradesh,damoh,55454,134483,242.50834009557298
madhya pradesh,datia,36445,47034,129.05119903418756
madhya pradesh,dewas,47249,119901,253.75873015873017
madhya pradesh,dhar,87455,146391,167.38817233809002
madhya pradesh,dindori,47417,61476,129.64696950525115
madhya pradesh,east nimar,9607,40363,420.0978351373856
madhya pradesh,guna,52953,132886,250.9461041658798
madhya pradesh,gwalior,81719,127120,155.55555555555557
madhya pradesh,harda,12261,47941,390.9721089544936
madhya pradesh,indore,186687,221624,118.71357559136099
madhya pradesh,jabalpur,92051,158664,172.36344674749057
madhya pradesh,jhabua,41462,88726,213.98837517786941
madhya pradesh,katni,56942,98452,172.89570272026413
madhya pradesh,khandwa,17730,59018,332.85206700129714
madhya pradesh,khargone,40980,169201,412.87669895805374
madhya pradesh,maihar,4017,1521,37.85465405674465
madhya pradesh,mandla,56981,62247,109.23975992418657
madhya pradesh,mandsaur,54055,92460,171.04484238567412
madhya pradesh,mauganj,4086,1061,25.960362123807197
madhya pradesh,morena,110417,145559,131.82542701371153
madhya pradesh,narmadapuram,18312,103906,567.3892862993501
madhya pradesh,narsimhapur,4286,10348,241.38091905761604
madhya pradesh,narsinghpur,26197,63117,240.92297121917704
madhya pradesh,neemuch,36976,57011,154.17962517240446
madhya pradesh,niwari,1739,2295,131.89655172413794
madhya pradesh,pandhurna,821,377,45.86374695863747
madhya pradesh,panna,42825,98039,228.92401811983376
madhya pradesh,raisen,42813,116648,272.4529359555286
madhya pradesh,rajgarh,42280,165229,390.7878243182517
madhya pradesh,ratlam,79423,134947,169.90708098307817
madhya pradesh,rewa,83134,194959,234.5089312563902
madhya pradesh,sagar,87877,192725,219.30972484580894
madhya pradesh,satna,87053,172713,198.39754635054106
madhya pradesh,sehore,27869,118002,423.40150699677076
madhya pradesh,seoni,74283,85752,115.43804857035163
madhya pradesh,shahdol,54777,94572,172.64595275475557
madhya pradesh,shajapur,31225,126641,405.5626721321976
madhya pradesh,sheopur,38806,56268,144.994459762414
madhya pradesh,shivpuri,68930,166572,241.65034599817207
madhya pradesh,sidhi,54093,121207,224.06736421784302
madhya pradesh,singrauli,56704,108430,191.21770566969403
madhya pradesh,tikamgarh,51168,160616,313.8931775098204
madhya pradesh,ujjain,76708,149951,195.4803217353896
madhya pradesh,umaria,29625,39261,132.5221089583474
madhya pradesh,vidisha,49297,124890,253.3368493650858
madhya pradesh,west nimar,2059,9818,476.60194174757277
maharashtra,ahilyanagar,8013,5856,73.07212378337908
maharashtra,ahmadnagar,227667,363561,159.68910870214523
maharashtra,akola,62082,185085,298.12509060451333
maharashtra,amravati,96191,338283,351.67477544910184
maharashtra,beed,171151,255495,149.27958773487896
maharashtra,bhandara,37894,102204,269.70312706161764
maharashtra,bid,11918,9892,82.99353972648711
maharashtra,buldana,22941,35737,155.77107488449133
maharashtra,buldhana,114172,219501,192.252984505969
maharashtra,chandrapur,112071,213634,190.62210007852096
maharashtra,chhatrapati sambhajinagar,177507,316240,178.15535074475517
maharashtra,dharashiv,112021,155698,138.98877006302334
maharashtra,dhule,61908,197854,319.5884281768402
maharashtra,gadchiroli,52698,140665,266.9215734643921
maharashtra,gondia,975,865,88.62704918032787
maharashtra,gondiya,65626,97922,149.20992884026393
maharashtra,hingoli,96554,117073,121.25006472994666
maharashtra,jalgaon,151076,417384,276.27236442343974
maharashtra,jalna,79540,192692,242.25493770508294
maharashtra,kolhapur,129934,271084,208.6304690806942
maharashtra,latur,125627,246741,196.4060559747827
maharashtra,mumbai,380335,626120,164.62285978713558
maharashtra,mumbai sub urban,3641,4927,135.28281164195496
maharashtra,nagpur,158901,350923,220.8424060112522
maharashtra,nanded,236789,342540,144.65982516153554
maharashtra,nandurbar,41644,201392,483.5922679793493
maharashtra,nashik,246100,576606,234.29648802727337
maharashtra,palghar,122107,157952,129.35434205785043
maharashtra,parbhani,116829,184026,157.5160489600274
maharashtra,pune,438478,605762,138.15074382125482
maharashtra,raigad,42361,14025,33.10750200651527
maharashtra,raigarh,85867,156663,182.44631294545115
maharashtra,raigarhmh,853,500,58.548009367681495
maharashtra,ratnagiri,53009,139189,262.57121297868326
maharashtra,sangli,89884,223013,248.1092507092396
maharashtra,satara,98223,209569,213.35824238475323
maharashtra,sindhudurg,27892,48377,173.43778008819416
maharashtra,solapur,265546,334507,125.96903749618711
maharashtra,thane,447253,571273,127.72898621365042
maharashtra,wardha,30342,126459,416.7649869821705
maharashtra,washim,54869,139459,254.16256606524513
maharashtra,yavatmal,196112,327187,166.8359568208125
manipur,bishnupur,42055,30309,72.06819478790185
manipur,chandel,8989,8683,96.58509454949944
manipur,churachandpur,19273,18812,97.60298848189271
manipur,imphal east,56020,59274,105.80675103978865
manipur,imphal west,59350,61311,103.30238749136494
manipur,jiribam,1997,1966,98.3983983983984
manipur,kakching,3325,2047,61.54539987973542
manipur,pherzawl,176,2,1.1299435028248588
manipur,senapati,25510,22596,88.57355650503705
manipur,tamenglong,10431,7854,75.28757668711657
manipur,thoubal,59244,56043,94.5953244999578
manipur,ukhrul,15176,13690,90.20227976543454
meghalaya,east garo hills,6345,2724,42.92467696186574
meghalaya,east jaintia hills,3394,2782,81.9440353460972
meghalaya,east khasi hills,16360,21004,128.37846097426808
meghalaya,eastern west khasi hills,306,8,2.6058631921824107
meghalaya,jaintia hills,25,8,30.76923076923077
meghalaya,north garo hills,3832,1243,32.42890686146622
meghalaya,ri bhoi,8216,4524,55.05658999634904
meghalaya,south garo hills,4004,1285,32.08489388264669
meghalaya,south west garo hills,7182,4915,68.42544897675066
meghalaya,south west khasi hills,4740,3432,72.38979118329466
meghalaya,west garo hills,14970,33470,223.5655600828268
meghalaya,west jaintia hills,7460,6177,82.79051065540813
meghalaya,west khasi hills,10544,6054,57.41109530583215
mizoram,aizawl,12892,37677,292.22834096021097
mizoram,champhai,6469,15968,246.80061823802163
mizoram,hnahthial,47,17,35.41666666666667
mizoram,khawzawl,35,8,22.22222222222222
mizoram,kolasib,3867,10931,282.6008273009307
mizoram,lawngtlai,4395,13430,305.5050045495905
mizoram,lunglei,7323,15289,208.75204806116878
mizoram,mamit,1809,10715,591.9889502762431
mizoram,mammit,636,2857,448.50863422291997
mizoram,saiha,1851,5756,310.79913606911447
mizoram,saitual,127,77,60.15625
mizoram,serchhip,2455,7604,309.6091205211726
nagaland,chumukedima,1837,651,35.418933623503804
